Id,Code,Name,Status,Level,TeachingHours,TotalHours,Employability,,Area
162,CZ-001,Poznej Czechitas,Update,Nezáleží na znalostech,2,2,,,Poznej
296,WEB-001,Poznej Vývoj webu a aplikací,Update,Nezáleží na znalostech,2,2,,,
379,WEB-002,Poznej Digitální akademii: Web,Split,Nezáleží na znalostech,2,2,,,
380,WEB-003,Poznej Digitální akademii: Testování,Split,Nezáleží na znalostech,2,2,,,
293,DAT-001,Poznej Datovou analýzu a AI,Update,Nezáleží na znalostech,2,2,,,
381,DAT-002,Poznej Digitální akademii: Data,Split,Nezáleží na znalostech,2,2,,,
352,CS-001,Poznej Kybernetickou bezpečnost,Update,Nezáleží na znalostech,2,2,,,
370,CS-002,Poznej Digitální akademii: Kyberbezpečnost,Update,Nezáleží na znalostech,2,2,,,
68,WEB-101,Úvod do HTML a CSS,Ok,Úplní začátečníci,7,7,,,Společné kurzy WEB
150,WEB-211,Správa systémů pro aplikace (DevOps),Ok,Pokročilí začátečníci,25,35,"24,07",,
76,WEB-311,IT analýza,Update,Mírně pokročilí,7,7,,,
376,WEB-112,Agilní vývoj,Merge,Úplní začátečníci,14,14,,,
1,WEB-221,HTML a CSS 1,Ok,Pokročilí začátečníci,30,40,"6,47",,Kodérka
9,WEB-321,HTML a CSS 2,Update,Mírně pokročilí,30,40,"8,33",,
152,WEB-220,Staň se kodérkou,Ok,Pokročilí začátečníci,24,100,"10,67",,
57,WEB-131,Úvod do programování 1: JavaScript,Ok,Úplní začátečníci,7,7,,,Vývojářka frontendu
2,WEB-231,JavaScript 1,Ok,Pokročilí začátečníci,30,40,"11,07",,
54,WEB-331,JavaScript 2,Ok,Mírně pokročilí,36,50,"23,86",,
44,WEB-230,Digitální akademie: Web,Ok,Pokročilí začátečníci,169,322,"46,45",,
132,WEB-431,React 1,Ok,Středně pokročilí,36,50,"23,97",,
334,WEB-432,React 2,Ok,Středně pokročilí,36,50,"31,58",,
140,WEB-141,Úvod do programování 1: Java,Ok,Úplní začátečníci,7,7,,,Vývojářka beckendu
5,WEB-241,Java 1,Ok,Pokročilí začátečníci,30,40,"9,09",,
50,WEB-341,Java 2: Webové aplikace,Ok,Mírně pokročilí,30,40,"17,98",,
48,WEB-151,C# 1,Ok,Úplní začátečníci,30,40,"7,23",,
49,WEB-251,C# 2,Ok,Mírně pokročilí,30,40,"15,94",,
362,WEB-351,C# 3,New,Středně pokročilí,40,50,,,
98,WEB-161,Úvod do UX,Ok,Úplní začátečníci,7,7,,,UX designérka
