Id,Code,Name,Level,TeachingHours,TotalHours,Area,Nahrávka nebo materiály
79,DC-101,Poznej svět IT: Přehled pojmů,Úplní začátečníci,7,7,Digitální dovednosti,https://www.youtube.com/playlist?list=PLTCx5oiCrIJ5Xn8kE5GZDA29lQcItFJdH
156,DC-102,Poznej svět IT: Úvod do algoritmů,Úplní začátečníci,7,7,,
96,DC-111,Canva,Úplní začátečníci,7,7,,https://www.youtube.com/playlist?list=PLTCx5oiCrIJ6PsqeDjC7E61dIq-k61kFS
373,DC-211,Canva pro pokročilé,Pokročilí začátečníci,7,7,,
180,DC-121,WordPress,Úplní začátečníci,25,85,,
99,DC-142,Základy uživatelské bezpečnosti,Úplní začátečníci,7,7,,
299,DC-331,Bezpečnost koncových zařízení,Mírně pokročilí,7,8,,
117,CAR-011,CV a osobní značka,Nezáleží na znalostech,6,6,,
118,CAR-012,LinkedIn pro profesní tranzice,Nezáleží na znalostech,6,6,,
119,CAR-013,Příprava na pohovor,Nezáleží na znalostech,6,6,,
363,CAR-021,Angličtina pro DA,Nezáleží na znalostech,6,6,,
242,CAR-031,Brněnský Job Fair Czechitas,Nezáleží na znalostech,6,6,Karierko,
120,CAR-032,Pražský Job Fair Czechitas,Nezáleží na znalostech,6,6,,
120,CAR-033,Virtuální Job Fair Czechitas,Nezáleží na znalostech,6,6,,
162,CZ-001,Poznej Czechitas,Nezáleží na znalostech,2,2,,https://docs.google.com/presentation/d/1P0Swqb2wgikZPUY752lfsdzkQcw-80nTd_3r40wApuM/edit#slide=id.gf65482dac5_0_0
40,CZ-002,Cena Czechitas,Nezáleží na znalostech,0,0,,
371,ENT-201,Úvod do Salesforce Marketing Cloud,Pokročilí začátečníci,7,11,,
355,ENT-251,Automatizace s Microsoft 365 Power Platform,Pokročilí začátečníci,36,46,,
